================================================================================
TRADE COMPARISON - PAST 5 DAYS
================================================================================

Report Generated: 2025-11-21 17:25:48

--------------------------------------------------------------------------------
DATE: 2025-11-21
--------------------------------------------------------------------------------
Total Trades: 270
Closed Trades: 270
Win Rate: 39.3%
Total P&L: $1724.17
Avg Profit per Trade: $6.39

Trade Details:
  1. AMD      BUY  Entry: $197.02 -> Exit: $199.99 | P&L: +$0.00
  2. NVDA     buy  Entry: $175.21 -> Exit: $175.28 | P&L: +$4.13
  3. NVDA     BUY  Entry: $175.28 -> Exit: $175.28 | P&L: +$0.00
  4. AMZN     sell Entry: $216.50 -> Exit: $216.46 | P&L: +$2.05
  5. AMZN     SELL Entry: $216.81 -> Exit: $216.85 | P&L: +$0.00
  6. NVDA     buy  Entry: $174.92 -> Exit: $174.98 | P&L: +$3.80
  7. NVDA     BUY  Entry: $174.90 -> Exit: $174.96 | P&L: +$0.00
  8. NVDA     buy  Entry: $174.85 -> Exit: $174.96 | P&L: +$6.31
  9. NVDA     BUY  Entry: $174.90 -> Exit: $174.95 | P&L: +$0.00
  10. AAPL     sell Entry: $271.29 -> Exit: $271.22 | P&L: +$2.68
  11. AAPL     SELL Entry: $270.98 -> Exit: $270.59 | P&L: +$0.00
  12. AMZN     buy  Entry: $216.66 -> Exit: $216.93 | P&L: +$12.78
  13. GOOGL    SELL Entry: $298.12 -> Exit: $298.36 | P&L: +$0.00
  14. AAPL     buy  Entry: $270.52 -> Exit: $270.61 | P&L: +$3.60
  15. AMZN     BUY  Entry: $216.45 -> Exit: $216.85 | P&L: +$0.00
  16. AMD      sell Entry: $197.43 -> Exit: $197.18 | P&L: +$12.63
  17. AAPL     BUY  Entry: $270.47 -> Exit: $270.59 | P&L: +$0.00
  18. TSLA     BUY  Entry: $389.46 -> Exit: $395.31 | P&L: +$0.00
  19. TSLA     sell Entry: $389.58 -> Exit: $389.04 | P&L: +$15.80
  20. GOOGL    sell Entry: $298.26 -> Exit: $298.12 | P&L: +$4.81
  21. AMZN     sell Entry: $216.82 -> Exit: $216.60 | P&L: +$0.22
  22. TSLA     buy  Entry: $388.75 -> Exit: $389.77 | P&L: +$29.57
  23. GOOGL    buy  Entry: $297.63 -> Exit: $298.37 | P&L: +$26.05
  24. AMZN     buy  Entry: $216.68 -> Exit: $216.85 | P&L: +$0.18
  25. INTC     BUY  Entry: $33.30 -> Exit: $33.81 | P&L: +$0.00
  26. GOOGL    buy  Entry: $297.63 -> Exit: $298.34 | P&L: +$25.18
  27. AMZN     buy  Entry: $216.68 -> Exit: $216.76 | P&L: +$0.62
  28. AAPL     buy  Entry: $270.17 -> Exit: $270.49 | P&L: +$12.64
  29. TSLA     BUY  Entry: $389.80 -> Exit: $389.54 | P&L: +$0.00
  30. AAPL     BUY  Entry: $270.15 -> Exit: $270.47 | P&L: +$0.00
  31. GOOGL    BUY  Entry: $296.96 -> Exit: $298.36 | P&L: +$0.00
